nombre campaña,fecha inicio,fecha fin,inversión,retorno inversión,tipo,audiencia target,canal,ratio conversión,facturación,duración días,categoría duración,beneficio neto,campaña exitosa,categoría inversión,categoría beneficio
Assimilated cohesive contingency,2023-03-10,2024-07-22,"52.088,32","0,60",podcast,B2B,referral,"0,46","85.934,39",500.0,larga,"33.846,07",Sí,medio,bajo
Distributed heuristic extranet,2022-08-27,2023-12-31,"19.258,46","0,61",podcast,B2C,promotion,"0,22","828.613,75",491.0,larga,"809.355,29",Sí,bajo,alto
Public-key optimizing open architecture,2023-04-01,2023-11-13,"35.095,84","0,70",social media,B2C,paid,"0,26","153.946,14",226.0,corta,"118.850,30",Sí,bajo,bajo
Self-enabling secondary methodology,2022-09-22,2024-04-16,"89.591,74","0,22",podcast,B2C,promotion,"0,16","707.937,27",572.0,larga,"618.345,53",Sí,alto,alto
Multi-channeled intermediate project,2023-07-10,2024-06-11,"30.866,33","0,40",webinar,B2C,paid,"0,51","487.045,64",337.0,media,"456.179,31",Sí,bajo,medio
Re-engineered 24/7 benchmark,2022-10-07,2023-08-02,"60.761,56","0,60",podcast,B2C,paid,"0,46","560.912,60",299.0,media,"500.151,04",Sí,alto,medio
Automated 6thgeneration solution,2023-04-10,2023-08-27,"82.351,52","0,99",podcast,B2C,organic,"0,27","470.489,22",139.0,corta,"388.137,70",Sí,alto,medio
Persevering asymmetric orchestration,2022-10-23,2024-03-12,"68.860,82","0,33",webinar,B2C,organic,"0,82","360.686,83",506.0,larga,"291.826,01",Sí,alto,bajo
Enhanced web-enabled knowledge user,2023-04-24,2024-05-25,"71.941,12","0,99",webinar,B2C,referral,"0,67","793.615,75",397.0,media,"721.674,63",Sí,alto,alto
Multi-tiered fresh-thinking monitoring,2023-01-31,2024-01-23,"92.487,68","0,50",social media,B2C,organic,"0,48","539.681,90",357.0,media,"447.194,22",Sí,alto,medio
Cloned background ability,2023-05-08,2023-08-05,"6.690,98","0,95",podcast,B2C,referral,"0,60","419.310,48",89.0,corta,"412.619,50",Sí,bajo,medio
Up-sized bifurcated budgetary management,2023-06-21,2024-03-29,"65.932,30","0,46",email,B2B,paid,"0,64","868.615,57",282.0,media,"802.683,27",Sí,alto,alto
Virtual methodical projection,2022-08-28,2023-08-03,"2.939,44","0,23",podcast,B2B,referral,"0,34","517.886,30",340.0,media,"514.946,86",Sí,bajo,medio
Configurable 6thgeneration approach,2023-07-20,2023-08-05,"89.898,65","0,51",social media,B2C,paid,"0,94","940.644,50",16.0,corta,"850.745,85",Sí,alto,alto
Networked zero administration hardware,2023-06-18,2024-01-12,"79.330,10","0,60",webinar,B2C,promotion,"0,60","993.317,73",208.0,corta,"913.987,63",Sí,alto,alto
Integrated dedicated solution,2023-04-25,2023-09-26,"49.871,16","0,59",webinar,B2B,promotion,"0,13","753.551,91",154.0,corta,"703.680,75",Sí,medio,alto
Managed coherent Local Area Network,2022-08-22,2024-07-09,"86.898,80","0,20",email,B2B,paid,"0,63","627.464,79",687.0,larga,"540.565,99",Sí,alto,medio
Assimilated bifurcated policy,2023-07-12,2024-06-07,"88.219,78","0,56",podcast,B2C,organic,"0,90","385.119,98",331.0,media,"296.900,20",Sí,alto,bajo
Intuitive secondary initiative,2023-07-21,2023-10-02,"40.691,90","0,87",email,B2C,organic,"0,50","924.409,28",73.0,corta,"883.717,38",Sí,medio,alto
Reverse-engineered bandwidth-monitored encoding,2023-04-13,2023-12-22,"72.683,10","0,37",social media,B2B,paid,"0,71","778.626,74",253.0,corta,"705.943,64",Sí,alto,alto
Adaptive 24/7 open architecture,2023-04-28,2024-04-26,"11.646,16","0,80",email,B2B,organic,"0,81","13.324,20",364.0,media,"1.678,04",Sí,bajo,bajo
Grass-roots holistic migration,2022-08-26,2023-12-23,"89.917,95","0,67",email,B2B,promotion,"0,24","736.828,76",484.0,larga,"646.910,81",Sí,alto,alto
Face-to-face background methodology,2022-11-26,2024-04-19,"78.099,81","0,94",webinar,B2C,organic,"0,35","535.075,58",510.0,larga,"456.975,77",Sí,alto,medio
Visionary neutral attitude,2023-07-02,2024-07-25,"35.717,61","0,19",podcast,B2C,organic,"0,10","146.092,95",389.0,media,"110.375,34",Sí,medio,bajo
Grass-roots tertiary adapter,2023-02-21,2024-03-25,"74.243,84","0,90",webinar,B2B,promotion,"0,95","562.833,10",398.0,media,"488.589,26",Sí,alto,medio
Function-based dynamic focus group,2022-12-17,2024-02-08,"25.475,70","0,10",webinar,B2C,paid,"0,43","869.402,93",418.0,media,"843.927,23",Sí,bajo,alto
Multi-tiered stable installation,2023-03-23,2024-04-15,"28.552,53","0,10",webinar,B2C,paid,"0,20","472.180,81",389.0,media,"443.628,28",Sí,bajo,medio
Proactive explicit migration,2023-07-06,2023-08-06,"38.420,97","0,96",social media,B2C,organic,"0,58","833.349,14",31.0,corta,"794.928,17",Sí,medio,alto
Reactive eco-centric synergy,2023-07-03,2024-04-23,"39.225,15","0,28",email,B2B,paid,"0,84","127.445,11",295.0,media,"88.219,96",Sí,medio,bajo
Automated dedicated budgetary management,2023-08-01,2024-04-06,"1.436,99","0,14",podcast,B2B,organic,"0,87","881.768,44",249.0,corta,"880.331,45",Sí,bajo,alto
Multi-channeled coherent moderator,2022-08-10,2024-03-18,"11.007,95","0,79",podcast,B2C,referral,"0,81","680.150,20",586.0,larga,"669.142,25",Sí,bajo,alto
Synergized bottom-line paradigm,2022-12-06,2024-07-09,"94.432,87","0,63",social media,B2C,organic,"0,20","524.902,66",581.0,larga,"430.469,79",Sí,alto,medio
Phased attitude-oriented standardization,2023-07-03,2024-05-12,"87.100,53","0,53",podcast,B2B,referral,"0,32","959.625,18",314.0,media,"872.524,65",Sí,alto,alto
Open-architected bottom-line algorithm,2022-11-11,2023-11-15,"81.473,25","0,96",webinar,B2C,paid,"0,37","471.361,80",369.0,media,"389.888,55",Sí,alto,medio
Open-source homogeneous product,2023-05-31,2023-09-30,"89.921,79","0,79",webinar,B2B,organic,"0,51","423.523,60",122.0,corta,"333.601,81",Sí,alto,bajo
Reduced tertiary implementation,2022-08-10,2023-10-22,"93.538,70","0,83",email,B2B,organic,"0,40","949.355,73",438.0,media,"855.817,03",Sí,alto,alto
Proactive incremental framework,2022-12-16,2024-05-21,"96.760,38","0,12",email,B2B,referral,"0,33","353.251,17",522.0,larga,"256.490,79",Sí,alto,bajo
Quality-focused hybrid policy,2023-01-28,2024-05-10,"90.020,46","0,55",social media,B2C,promotion,"0,90","766.391,61",468.0,larga,"676.371,15",Sí,alto,alto
Progressive 24hour utilization,2022-11-01,2024-03-14,"14.495,84","0,30",podcast,B2C,referral,"0,56","105.658,26",499.0,larga,"91.162,42",Sí,bajo,bajo
Organized coherent utilization,2022-09-12,2024-05-18,"7.889,64","0,52",email,B2C,referral,"0,56","160.161,30",614.0,larga,"152.271,66",Sí,bajo,bajo
Versatile user-facing benchmark,2022-09-19,2024-05-21,"53.658,92","0,90",social media,B2B,promotion,"0,00","761.292,13",610.0,larga,"707.633,21",Sí,medio,alto
Configurable client-driven migration,2022-12-09,2024-03-10,"21.172,32","0,16",social media,B2C,referral,"0,32","972.694,30",457.0,larga,"951.521,98",Sí,bajo,alto
Public-key fresh-thinking intranet,2023-07-23,2024-04-01,"88.296,95","0,19",webinar,B2C,referral,"0,13","928.231,80",253.0,corta,"839.934,85",Sí,alto,alto
Self-enabling bandwidth-monitored array,2022-09-15,2024-04-05,"42.970,96","0,84",webinar,B2C,referral,"0,68","345.521,31",568.0,larga,"302.550,35",Sí,medio,bajo
Profound disintermediate analyzer,2022-12-16,2023-11-09,"49.418,20","0,40",social media,B2B,paid,"0,83","917.197,39",328.0,media,"867.779,19",Sí,medio,alto
Multi-tiered multi-tasking support,2022-10-23,2023-12-08,"3.809,12","0,22",webinar,B2C,referral,"0,20","573.889,99",411.0,media,"570.080,87",Sí,bajo,medio
Triple-buffered next generation moderator,2023-07-22,2024-02-17,"96.955,19","0,51",webinar,B2B,promotion,"0,51","605.117,55",210.0,corta,"508.162,36",Sí,alto,medio
Synergistic needs-based framework,2022-10-21,2024-04-27,"22.787,98","0,41",webinar,B2C,organic,"0,29","940.147,71",554.0,larga,"917.359,73",Sí,bajo,alto
Horizontal national alliance,2022-12-20,2023-11-10,"59.550,27","0,47",social media,B2C,referral,"0,42","345.405,00",325.0,media,"285.854,73",Sí,alto,bajo
Team-oriented mobile contingency,2023-03-29,2024-01-25,"55.219,70","0,97",podcast,B2B,promotion,"0,64","643.859,10",302.0,media,"588.639,40",Sí,medio,medio
Persistent grid-enabled contingency,2022-10-14,2024-02-06,"38.978,72","0,10",podcast,B2C,organic,"0,25","730.692,49",480.0,larga,"691.713,77",Sí,medio,alto
Reactive real-time array,2023-06-21,2024-04-13,"77.106,38","0,34",podcast,B2C,promotion,"0,39","187.751,15",297.0,media,"110.644,77",Sí,alto,bajo
Programmable asynchronous encryption,2023-01-17,2023-12-22,"16.485,72","0,89",podcast,B2B,referral,"0,41","9.714,17",339.0,media,"-6.771,55",No,bajo,bajo
Object-based web-enabled intranet,2023-06-01,2023-08-11,"32.297,26","0,93",webinar,B2B,promotion,"0,17","919.995,28",71.0,corta,"887.698,02",Sí,bajo,alto
Universal exuding artificial intelligence,2023-04-25,2024-07-24,"80.372,50","0,30",webinar,B2B,paid,"0,30","260.204,20",456.0,larga,"179.831,70",Sí,alto,bajo
Cross-group bandwidth-monitored time-frame,2022-11-30,2024-03-18,"51.871,97","0,56",email,B2B,paid,"0,55","389.969,52",474.0,larga,"338.097,55",Sí,medio,bajo
Customer-focused web-enabled framework,2023-01-04,2023-12-30,"3.162,85","0,27",social media,B2B,organic,"0,71","625.063,38",360.0,media,"621.900,53",Sí,bajo,alto
Synergized local emulation,2023-04-20,2023-12-10,"1.793,79","0,28",webinar,B2B,promotion,"0,30","441.129,40",234.0,corta,"439.335,61",Sí,bajo,medio
Multi-tiered object-oriented knowledge user,2023-04-22,2023-10-28,"52.804,87","0,00",email,B2C,paid,"0,25","880.106,40",189.0,corta,"827.301,53",Sí,medio,alto
Multi-lateral mission-critical productivity,2023-04-21,2023-09-12,"71.940,27","0,84",social media,B2B,referral,"0,73","720.494,61",144.0,corta,"648.554,34",Sí,alto,alto
Re-contextualized reciprocal secured line,2023-03-19,2023-10-09,"83.645,54","0,58",social media,B2B,referral,"0,27","607.963,82",204.0,corta,"524.318,28",Sí,alto,medio
Compatible actuating utilization,2022-09-29,2024-03-14,"40.895,28","0,84",webinar,B2C,promotion,"0,53","322.795,47",532.0,larga,"281.900,19",Sí,medio,bajo
Compatible full-range open system,2023-05-29,2024-06-04,"33.898,88","0,50",social media,B2B,referral,"0,58","300.424,53",372.0,media,"266.525,65",Sí,bajo,bajo
Switchable incremental collaboration,2023-03-28,2023-11-28,"46.310,28","0,77",webinar,B2B,paid,"0,53","486.051,65",245.0,corta,"439.741,37",Sí,medio,medio
Monitored maximized project,2023-05-07,2024-05-17,"32.095,60","0,69",email,B2B,promotion,"0,37","442.320,40",376.0,media,"410.224,80",Sí,bajo,medio
Compatible grid-enabled info-mediaries,2023-01-27,2023-11-21,"96.019,69","0,84",webinar,B2C,organic,"0,57","687.313,27",298.0,media,"591.293,58",Sí,alto,medio
Cloned foreground portal,2022-09-14,2023-08-17,"13.908,21","0,54",podcast,B2B,promotion,"0,88","816.603,99",337.0,media,"802.695,78",Sí,bajo,alto
Devolved homogeneous projection,2023-04-25,2024-05-24,"4.833,32","0,70",webinar,B2C,promotion,"0,22","864.437,87",395.0,media,"859.604,55",Sí,bajo,alto
Profound non-volatile complexity,2022-10-03,2023-08-18,"28.827,53","0,76",social media,B2C,paid,"0,94","734.015,40",319.0,media,"705.187,87",Sí,bajo,alto
Focused holistic collaboration,2023-01-31,2023-11-02,"89.440,32","0,88",email,B2C,promotion,"0,85","931.725,82",275.0,media,"842.285,50",Sí,alto,alto
Optimized zero administration task-force,2022-12-31,2024-01-14,"31.564,29","0,77",podcast,B2B,referral,"0,83","931.183,22",379.0,media,"899.618,93",Sí,bajo,alto
Customizable zero administration application,2022-08-27,2024-01-01,"86.492,20","0,38",podcast,B2B,paid,"0,23","122.398,70",492.0,larga,"35.906,50",Sí,alto,bajo
Balanced multi-tasking adapter,2023-07-13,2024-06-23,"13.945,61","0,63",email,B2B,promotion,"0,57","794.815,89",346.0,media,"780.870,28",Sí,bajo,alto
Ameliorated grid-enabled capability,2023-01-19,2023-10-02,"13.105,34","0,37",social media,B2B,paid,"0,60","501.764,55",256.0,corta,"488.659,21",Sí,bajo,medio
Monitored full-range matrix,2022-09-02,2023-10-11,"27.771,85","0,39",social media,B2B,referral,"0,58","673.575,17",404.0,media,"645.803,32",Sí,bajo,alto
Multi-tiered empowering adapter,2023-02-24,2023-09-29,"30.544,22","0,83",podcast,B2B,organic,"0,47","40.247,47",217.0,corta,"9.703,25",Sí,bajo,bajo
Re-contextualized mission-critical help-desk,2023-03-28,2023-11-22,"35.286,84","0,17",webinar,B2B,paid,"0,45","195.049,24",239.0,corta,"159.762,40",Sí,bajo,bajo
Face-to-face foreground service-desk,2023-03-15,2024-05-07,"23.254,87","0,66",social media,B2C,promotion,"0,59","817.356,61",419.0,media,"794.101,74",Sí,bajo,alto
Re-contextualized solution-oriented circuit,2022-08-25,2023-12-04,"29.101,58","0,74",email,B2C,referral,"0,57","798.538,44",466.0,larga,"769.436,86",Sí,bajo,alto
Managed didactic system engine,2023-07-14,2024-07-18,"31.358,99","0,70",social media,B2C,referral,"0,86","378.814,53",370.0,media,"347.455,54",Sí,bajo,bajo
Expanded 4thgeneration groupware,2023-04-02,2023-08-23,"51.725,95","0,70",email,B2B,paid,"0,72","654.019,70",143.0,corta,"602.293,75",Sí,medio,alto
Total well-modulated knowledge user,2022-08-22,2023-10-19,"28.468,75","0,82",webinar,B2C,organic,"0,11","151.441,90",423.0,media,"122.973,15",Sí,bajo,bajo
Polarized high-level ability,2022-09-20,2024-03-22,"8.627,43","0,26",email,B2B,promotion,"0,75","823.000,43",549.0,larga,"814.373,00",Sí,bajo,alto
Reduced high-level methodology,2023-04-12,2024-02-27,"92.072,41","0,48",email,B2B,organic,"0,54","8.811,92",321.0,media,"-83.260,49",No,alto,bajo
Robust executive migration,2023-01-29,2023-12-05,"42.804,51","0,55",podcast,B2C,organic,"0,79","650.574,93",310.0,media,"607.770,42",Sí,medio,alto
Inverse background firmware,2022-09-08,2024-05-01,"4.270,96","0,64",email,B2B,promotion,"0,80","30.917,19",601.0,larga,"26.646,23",Sí,bajo,bajo
Vision-oriented client-server conglomeration,2022-08-30,2024-02-21,"68.514,74","0,10",podcast,B2B,organic,"0,75","123.066,22",540.0,larga,"54.551,48",Sí,alto,bajo
Reduced motivating analyzer,2023-07-18,2024-07-16,"76.849,00","0,72",webinar,B2C,promotion,"0,45","453.670,50",364.0,media,"376.821,50",Sí,alto,medio
Focused empowering capacity,2023-05-04,2024-05-23,"74.278,50","0,30",social media,B2B,promotion,"0,12","863.407,86",385.0,media,"789.129,36",Sí,alto,alto
Front-line multi-tasking moderator,2023-01-09,2024-04-18,"21.674,14","0,75",podcast,B2B,promotion,"0,65","917.565,26",465.0,larga,"895.891,12",Sí,bajo,alto
Realigned 24/7 hub,2022-09-21,2024-05-23,"72.864,67","0,16",social media,B2C,referral,"0,70","360.392,70",610.0,larga,"287.528,03",Sí,alto,bajo
De-engineered 6thgeneration parallelism,2023-01-29,2024-07-12,"47.218,62","0,24",podcast,B2B,referral,"0,96","931.639,51",530.0,larga,"884.420,89",Sí,medio,alto
Mandatory 3rdgeneration matrices,2023-07-02,2023-10-28,"29.709,16","0,86",social media,B2C,referral,"0,12","811.850,37",118.0,corta,"782.141,21",Sí,bajo,alto
Compatible full-range toolset,2023-01-23,2023-08-07,"55.196,85","0,90",podcast,B2B,promotion,"0,40","561.046,37",196.0,corta,"505.849,52",Sí,medio,medio
Switchable 3rdgeneration projection,2023-07-01,2023-12-07,"72.566,45","0,12",podcast,B2C,referral,"0,33","713.030,96",159.0,corta,"640.464,51",Sí,alto,alto
Programmable homogeneous projection,2022-09-24,2023-11-12,"11.006,30","0,25",podcast,B2C,promotion,"0,98","3.641,30",414.0,media,"-7.365,00",No,bajo,bajo
Decentralized contextually-based capability,2023-02-22,2024-06-09,"9.950,82","0,97",webinar,B2C,referral,"0,50","482.845,35",473.0,larga,"472.894,53",Sí,bajo,medio
Exclusive next generation info-mediaries,2023-03-26,2024-04-04,"38.117,82","0,64",podcast,B2C,promotion,"0,40","600.708,10",375.0,media,"562.590,28",Sí,medio,medio
Cloned scalable strategy,2022-09-01,2024-06-14,"74.720,70","0,90",email,B2B,paid,"0,49","774.366,50",652.0,larga,"699.645,80",Sí,alto,alto
Public-key full-range matrices,2023-07-16,2023-09-03,"37.221,22","0,17",email,B2C,organic,"0,10","681.365,12",49.0,corta,"644.143,90",Sí,medio,alto
Multi-layered methodical structure,2022-09-29,2024-05-03,"33.682,83","0,16",social media,B2C,referral,"0,25","189.755,91",582.0,larga,"156.073,08",Sí,bajo,bajo
Organic holistic Graphical User Interface,2023-07-05,2023-12-03,"1.810,82","0,14",email,B2C,promotion,"0,87","270.481,39",151.0,corta,"268.670,57",Sí,bajo,bajo
Multi-channeled upward-trending instruction set,2023-02-28,2024-03-06,"29.840,15","0,19",webinar,B2B,organic,"0,78","631.347,68",372.0,media,"601.507,53",Sí,bajo,alto
Managed even-keeled Internet solution,2023-03-09,2024-01-12,"81.342,10","0,66",email,B2C,promotion,"0,91","362.030,20",309.0,media,"280.688,10",Sí,alto,bajo
Customer-focused systemic capability,2023-01-01,2024-04-01,"96.731,22","0,49",social media,B2B,organic,"0,80","750.903,16",456.0,larga,"654.171,94",Sí,alto,alto
Inverse non-volatile superstructure,2022-08-06,2023-12-13,"27.329,38","0,32",email,B2B,organic,"0,60","873.619,99",494.0,larga,"846.290,61",Sí,bajo,alto
Multi-lateral needs-based collaboration,2022-09-23,2024-01-25,"21.718,66","0,51",social media,B2C,organic,"0,65","838.552,42",489.0,larga,"816.833,76",Sí,bajo,alto
Ergonomic empowering attitude,2023-04-26,2024-01-12,"80.659,67","0,61",email,B2C,promotion,"0,70","534.572,47",261.0,corta,"453.912,80",Sí,alto,medio
Switchable secondary hierarchy,2023-04-29,2023-11-18,"95.913,40","0,55",email,B2B,promotion,"0,91","651.889,94",203.0,corta,"555.976,54",Sí,alto,medio
Ameliorated bi-directional Graphic Interface,2023-05-07,2023-11-21,"34.910,16","0,57",podcast,B2C,referral,"0,97","613.092,25",198.0,corta,"578.182,09",Sí,bajo,medio
Secured attitude-oriented info-mediaries,2022-11-14,2023-10-11,"51.394,97","0,59",email,B2B,paid,"0,41","841.615,61",331.0,media,"790.220,64",Sí,medio,alto
Enterprise-wide bandwidth-monitored toolset,2022-08-17,2024-04-21,"27.577,78","0,40",podcast,B2B,paid,"0,40","665.815,39",613.0,larga,"638.237,61",Sí,bajo,alto
Compatible mobile open system,2023-03-03,2024-05-29,"31.618,12","0,29",webinar,B2C,paid,"0,87","455.453,72",453.0,media,"423.835,60",Sí,bajo,medio
Vision-oriented object-oriented structure,2023-04-30,2024-03-24,"84.055,70","0,57",email,B2C,referral,"0,85","302.692,25",329.0,media,"218.636,55",Sí,alto,bajo
Re-engineered holistic data-warehouse,2022-10-03,2024-05-09,"28.051,50","0,40",podcast,B2C,referral,"0,36","374.910,63",584.0,larga,"346.859,13",Sí,bajo,bajo
Multi-channeled reciprocal utilization,2022-08-21,2024-07-10,"16.470,61","0,90",social media,B2B,organic,"0,70","533.910,94",689.0,larga,"517.440,33",Sí,bajo,medio
Object-based discrete strategy,2023-07-22,2023-10-20,"39.241,75","0,47",podcast,B2B,referral,"0,59","252.287,84",90.0,corta,"213.046,09",Sí,medio,bajo
Customizable human-resource monitoring,2023-03-20,2023-12-06,"54.166,71","0,43",webinar,B2B,paid,"0,15","735.390,80",261.0,corta,"681.224,09",Sí,medio,alto
Synergized actuating policy,2023-04-07,2024-06-20,"40.958,70","0,77",podcast,B2B,promotion,"0,39","921.182,15",440.0,media,"880.223,45",Sí,medio,alto
Versatile object-oriented access,2023-06-21,2024-02-21,"21.009,79","0,96",podcast,B2B,referral,"0,54","321.994,20",245.0,corta,"300.984,41",Sí,bajo,bajo
De-engineered 24/7 archive,2023-06-15,2024-01-31,"23.099,80","0,25",social media,B2C,paid,"0,98","396.851,15",230.0,corta,"373.751,35",Sí,bajo,medio
Profit-focused multimedia concept,2022-09-20,2023-11-04,"33.618,70","0,54",webinar,B2C,paid,"0,80","868.303,57",410.0,media,"834.684,87",Sí,bajo,alto
Vision-oriented transitional process improvement,2023-06-27,2023-11-26,"55.436,70","0,80",podcast,B2B,organic,"0,99","786.705,70",152.0,corta,"731.269,00",Sí,medio,alto
Pre-emptive mission-critical knowledge user,2023-03-08,2024-06-28,"73.916,74","0,33",webinar,B2B,promotion,"0,69","232.695,36",478.0,larga,"158.778,62",Sí,alto,bajo
Cross-group object-oriented moderator,2022-08-27,2023-11-18,"66.331,63","0,40",podcast,B2C,promotion,"0,40","916.634,12",448.0,media,"850.302,49",Sí,alto,alto
Grass-roots eco-centric strategy,2022-10-22,2023-10-25,"39.767,24","0,95",email,B2B,paid,"0,33","406.566,20",368.0,media,"366.798,96",Sí,medio,medio
Customizable global hierarchy,2023-04-26,2023-10-12,"86.716,38","0,74",email,B2B,paid,"0,95","69.360,86",169.0,corta,"-17.355,52",No,alto,bajo
Future-proofed uniform alliance,2023-03-22,2024-06-14,"69.474,96","0,40",email,B2B,organic,"0,70","86.176,18",450.0,media,"16.701,22",Sí,alto,bajo
Balanced asynchronous contingency,2022-10-31,2024-04-07,"7.952,69","0,80",social media,B2C,promotion,"0,14","772.286,49",524.0,larga,"764.333,80",Sí,bajo,alto
Robust disintermediate neural-net,2023-04-17,2023-11-15,"92.395,78","0,37",social media,B2C,organic,"0,31","949.696,65",212.0,corta,"857.300,87",Sí,alto,alto
Multi-lateral dynamic encryption,2023-04-21,2024-01-04,"76.016,60","0,98",social media,B2B,promotion,"0,38","809.123,64",258.0,corta,"733.107,04",Sí,alto,alto
Customer-focused human-resource algorithm,2022-12-15,2024-03-07,"32.965,35","0,43",email,B2C,referral,"0,77","838.474,56",448.0,media,"805.509,21",Sí,bajo,alto
Re-contextualized zero-defect artificial intelligence,2023-04-13,2024-04-02,"99.120,34","0,34",webinar,B2B,referral,"0,67","227.398,12",355.0,media,"128.277,78",Sí,alto,bajo
Decentralized system-worthy neural-net,2023-01-24,2023-10-25,"65.906,93","0,98",email,B2B,promotion,"0,90","543.317,45",274.0,media,"477.410,52",Sí,alto,medio
Reduced content-based Graphic Interface,2022-10-26,2024-03-03,"16.945,29","0,72",social media,B2C,referral,"0,76","884.669,86",494.0,larga,"867.724,57",Sí,bajo,alto
De-engineered non-volatile hardware,2023-02-10,2024-02-14,"41.041,24","0,21",email,B2C,organic,"0,51","394.039,86",369.0,media,"352.998,62",Sí,medio,bajo
Intuitive system-worthy interface,2022-12-28,2024-06-28,"44.445,20","0,83",webinar,B2C,referral,"0,39","300.733,58",548.0,larga,"256.288,38",Sí,medio,bajo
Networked systematic budgetary management,2023-02-13,2023-12-20,"11.742,47","0,49",email,B2B,organic,"0,20","672.241,21",310.0,media,"660.498,74",Sí,bajo,alto
Open-source radical extranet,2022-12-09,2023-09-22,"68.103,50","0,35",email,B2B,referral,"0,56","196.290,50",287.0,media,"128.187,00",Sí,alto,bajo
Monitored high-level contingency,2023-02-17,2023-10-10,"26.563,78","0,90",social media,B2B,paid,"0,32","863.720,51",235.0,corta,"837.156,73",Sí,bajo,alto
Switchable actuating encryption,2022-11-25,2023-09-14,"3.104,48","0,16",webinar,B2C,referral,"0,57","352.571,87",293.0,media,"349.467,39",Sí,bajo,bajo
Profit-focused actuating open architecture,2023-01-14,2024-03-30,"1.480,67","0,83",social media,B2C,promotion,"0,89","777.983,15",441.0,media,"776.502,48",Sí,bajo,alto
Compatible 5thgeneration open architecture,2023-06-27,2024-06-09,"43.263,23","0,97",social media,B2B,paid,"0,27","284.363,38",348.0,media,"241.100,15",Sí,medio,bajo
Business-focused systemic policy,2022-08-21,2024-07-21,"50.643,73","0,91",email,B2B,organic,"0,60","630.320,30",700.0,larga,"579.676,57",Sí,medio,medio
Front-line high-level encryption,2023-03-31,2023-09-10,"30.878,98","0,21",podcast,B2B,promotion,"0,70","666.756,80",163.0,corta,"635.877,82",Sí,bajo,alto
Reduced analyzing moratorium,2023-05-12,2023-08-07,"30.319,57","0,24",email,B2B,promotion,"0,19","926.893,18",87.0,corta,"896.573,61",Sí,bajo,alto
Configurable systematic concept,2023-01-30,2023-12-03,"89.283,48","0,10",email,B2B,referral,"0,67","907.297,81",307.0,media,"818.014,33",Sí,alto,alto
Versatile actuating synergy,2023-01-03,2024-01-28,"64.733,00","0,21",email,B2B,referral,"0,75","930.401,42",390.0,media,"865.668,42",Sí,alto,alto
Mandatory neutral ability,2023-03-22,2024-06-17,"1.635,98","0,23",email,B2B,organic,"0,90","125.526,72",453.0,media,"123.890,74",Sí,bajo,bajo
Re-contextualized clear-thinking matrix,2022-12-17,2024-02-15,"11.395,30","0,60",social media,B2B,promotion,"0,88","741.815,81",425.0,media,"730.420,51",Sí,bajo,alto
Front-line neutral concept,2023-07-09,2023-09-21,"24.959,24","0,66",email,B2C,paid,"0,73","407.610,45",74.0,corta,"382.651,21",Sí,bajo,medio
Synergistic optimizing approach,2023-06-25,2023-10-13,"59.973,81","0,45",social media,B2B,paid,"0,70","314.799,19",110.0,corta,"254.825,38",Sí,alto,bajo
Grass-roots content-based synergy,2022-09-03,2024-06-10,"11.703,28","0,67",email,B2B,referral,"0,46","236.446,20",646.0,larga,"224.742,92",Sí,bajo,bajo
Cross-group web-enabled methodology,2023-05-04,2024-03-10,"8.250,93","0,30",podcast,B2B,paid,"0,32","595.779,73",311.0,media,"587.528,80",Sí,bajo,medio
Total impactful budgetary management,2023-05-07,2023-09-29,"6.304,42","0,13",email,B2C,organic,"0,50","807.283,82",145.0,corta,"800.979,40",Sí,bajo,alto
Phased background toolset,2022-10-31,2024-06-28,"72.368,61","0,79",podcast,B2B,referral,"0,33","388.308,21",606.0,larga,"315.939,60",Sí,alto,bajo
Cross-platform web-enabled ability,2023-05-10,2024-06-16,"37.696,45","0,14",email,B2C,promotion,"0,28","666.027,78",403.0,media,"628.331,33",Sí,medio,alto
Quality-focused 4thgeneration database,2022-12-08,2024-01-04,"6.333,70","0,83",webinar,B2C,organic,"0,61","119.783,92",392.0,media,"113.450,22",Sí,bajo,bajo
Customizable 5thgeneration instruction set,2023-04-01,2024-06-20,"41.704,96","0,50",social media,B2B,referral,"0,85","930.138,53",446.0,media,"888.433,57",Sí,medio,alto
Automated real-time productivity,2023-02-26,2024-02-11,"72.322,94","0,80",podcast,B2C,paid,"0,74","776.223,20",350.0,media,"703.900,26",Sí,alto,alto
Advanced systematic complexity,2023-06-10,2024-04-11,"1.873,52","0,95",podcast,B2C,organic,"0,54","989.733,25",306.0,media,"987.859,73",Sí,bajo,alto
Re-engineered reciprocal infrastructure,2023-05-02,2024-05-14,"38.080,50","0,78",podcast,B2C,paid,"0,78","568.518,95",378.0,media,"530.438,45",Sí,medio,medio
Customer-focused holistic orchestration,2023-07-07,2023-08-10,"2.412,93","0,30",social media,B2C,paid,"0,80","651.779,82",34.0,corta,"649.366,89",Sí,bajo,alto
Cross-group homogeneous forecast,2023-03-10,2023-12-04,"46.645,57","0,90",webinar,B2C,referral,"0,80","67.759,80",269.0,corta,"21.114,23",Sí,medio,bajo
Customizable optimizing benchmark,2023-06-06,2024-01-18,"41.799,29","0,35",social media,B2B,referral,"0,54","923.943,17",226.0,corta,"882.143,88",Sí,medio,alto
